gene_name,log2FoldChange,pvalue
SNORA12,-2.18824854,8.04164E-17
Metazoa_SRP,-0.023512236,0.990760522
RNU2-59P,-0.958761236,0.208942051
Metazoa_SRP,0.285847648,0.888062918
Y_RNA,0.071204391,0.972020752
Y_RNA,-0.486871647,0.810615811
MIR146B,0.081387147,0.968022091
RNU6-43P,0.081387147,0.968022091
RNU11-3P,-0.108094912,0.957552426
MIR1307,-0.18786091,0.926360788
MIR936,0.208813631,0.918119915
RNU5B-6P,-1.532578247,0.408601615
RNU4-5P,-1.331087515,0.513764916
Y_RNA,-0.020631867,0.991894211
RN7SKP288,0.149407365,0.941340119
MIR4680,0.270262492,0.894214416
MIR548E,-0.225893044,0.911425108
MIR2110,-0.341273231,0.856677456
RN7SL384P,0.085684197,0.96633496
SNORA19,-1.639273506,3.27429E-05
SNORA19,0.242701876,0.904913067
RN7SL749P,-0.323526065,0.87345687
RN7SL846P,0.169449543,0.933490521
ZNRD1-AS1_2,-0.218632604,0.914259612
MIR3941,0.300330067,0.882434232
Y_RNA,-0.457999914,0.817625873
MIR4296,0.339055362,0.867414213
RNU2-42P,-0.021829533,0.991422888
RNU6-6P,-0.976236851,1.25799E-05
Y_RNA,0.149407365,0.941340119
RNU6-15P,0.183324297,0.547871739
Y_RNA,-0.067285598,0.973761849
RN7SKP37,-2.740790337,0.02760941
AC063961.1,-0.003326341,0.998694416
MIR603,0.351016389,0.862803181
RNU6-946P,-0.122535258,0.951887566
RNU2-24P,-0.239531737,0.90613795
RNU7-12P,-0.02432812,0.990439294
MIR8086,0.085684197,0.96633496
MIR604,0.221794456,0.91302393
MIR938,0.085684197,0.96633496
RN7SL825P,-0.022415942,0.99119208
RN7SL398P,0.071204391,0.972020752
Y_RNA,0.081387147,0.968022091
MIR4683,0.497457846,0.806541336
Y_RNA,-0.167373901,0.934377064
RN7SL754P,0.224825317,0.911840602
SNORD3J,-0.750326926,0.711957719
SNORA74C-1,-0.020619574,0.991899794
SNORA74C-2,-1.675030778,0.38866985
RN7SL445P,0.081387147,0.968022091
RN7SKP78,0.157775714,0.938061829
RN7SL591P,0.071204391,0.972020752
MIR1296,-0.182550162,0.928388573
MIR5699,0.341349208,0.866526006
RN7SL394P,0.071204391,0.972020752
RN7SL220P,0.102908623,0.959606315
SNORD98,-1.301268593,0.404723033
