hgnc_id,logFC,Pvalue
ARRDC3,2.54710115080885,1.25962740850214E-13
NGFR,1.90208838879849,2.99572794892646E-13
PLK2,0.867468977647741,6.08229399302371E-12
EGR1,2.15194329706684,8.47284507500328E-12
NUAK2,1.06751163840518,1.46340210499036E-11
CYP19A1,-2.25703686916581,1.67144977742738E-11
TXNIP,1.45845318129,2.61224655649702E-11
CCN1,0.989473929153649,2.64637581926226E-11
KLF10,1.36814887135915,2.89479941528069E-11
PGF,-1.44649356814893,3.08429062537953E-11
ANKRD1,0.907103200106492,1.7549717055967E-10
CGA,-4.43234640509696,1.93353132986124E-10
PIM1,0.978308610777447,5.09984001188118E-10
TFPI2,1.1613754643594,5.54572103660844E-10
GPCPD1,1.05065610218455,6.8137425928638E-10
CXCL14,-1.0522161319361,1.7834205809513E-09
TNFRSF1B,-3.49925496707335,1.8176115534988E-09
SLC16A14,3.24748302363331,2.53526423405292E-09
EPHA2,0.630813144114303,2.92429305530432E-09
LCMT1-AS2,-2.4875546581705,4.16883398443439E-09
DUSP15,2.89476998532801,4.34927032301266E-09
PRSS35,-0.763496346538603,4.37847564117658E-09
CHST3,0.735226563504689,5.82461956721269E-09
RND3,0.858490543140244,5.97839376067605E-09
KLF6,0.545002233616271,7.32709955911106E-09
CHASERR,0.744225727193641,1.39151492177256E-08
GZF1,0.714922568212094,1.82708559808189E-08
ACKR3,-0.662290581429566,2.2800334901465E-08
CDKN1C,-0.851436759687951,2.30039743917725E-08
GADD45B,0.961502154204483,2.38077611684772E-08
MX1,2.1397087361341,2.39822291546351E-08
LRRC8D,0.748563614598118,2.45064807300886E-08
RHOBTB1,-0.656517895711857,3.30590250995171E-08
ERVFRD-1,-4.14246442370204,3.70829032741401E-08
OGA,0.617215479430718,4.05976754710014E-08
SLC13A4,-1.65413695018717,4.5712555681633E-08
ATF3,0.826252152463153,4.80540058091899E-08
SERPINE1,0.567877785418422,5.36098745959105E-08
ZNF367,1.00781657612381,5.72940521818085E-08
ARHGAP45,0.812679213237775,6.13408185938733E-08
THBS1,0.669701977881079,7.80721867526567E-08
PARP14,0.89953201069477,7.84322800870994E-08
SPP1,0.613783209870009,8.77683501350729E-08
SCUBE1,-0.80279415519267,1.28889001596729E-07
CCND1,0.439251374894622,1.37021093307375E-07
ADAMTS1,-0.482943462742319,1.53153430764041E-07
ERVW-1,-2.69936233168216,1.53354758326736E-07
MMP9,1.12228496071854,1.72617722795263E-07
LMX1B,-0.573696851645429,1.85697443327642E-07
PALM2AKAP2,0.486831141055203,2.54962207977044E-07
SLC40A1,-0.534894272028534,2.55086270635674E-07
RLIM,0.467969956696393,2.67804783181277E-07
ENSG00000267943,-3.62914037219711,2.88581936852394E-07
ZC3HAV1,0.84046560253846,2.98397883535391E-07
FOS,0.903879062323912,3.02031919470615E-07
TRIM9,1.69662413495007,3.05857577084972E-07
IRX3,-0.726799750553174,3.32909976968744E-07
NFXL1,0.666959977423837,3.38788410423806E-07
PHOSPHO1,-4.18928331363627,3.45733086566255E-07
TMSB4X,0.409478769701989,3.71430276988685E-07
DUSP9,-0.697074435772004,3.78033635381685E-07
ERVV-2,-2.67037245871442,4.27652195792581E-07
SLC2A1,-0.373963999284783,4.30043899110358E-07
HELZ2,0.883877412618806,4.70387872498469E-07
TNFRSF21,0.423554673745869,4.71713121691316E-07
KCNK5,-0.455635625377546,4.75167779316802E-07
CYP11A1,-1.51268985045338,5.08741628467182E-07
DAB2,-0.418699630717563,5.35040214004715E-07
MXD4,-0.442317252876599,5.77905571347774E-07
ELL2,0.574145108543467,6.12866123587594E-07
DTX3L,0.675890864778357,6.32462015714078E-07
MAOA,-0.427699192299517,6.33864993114395E-07
SP6,-0.365061773271276,6.49017954106927E-07
SMOC1,-0.775271197992426,7.70188245430645E-07
PPP1R15A,0.675029169292893,8.73781002974013E-07
CGB5,-4.23896722340145,9.7269751466773E-07
MSX1,-0.947157691986032,9.88162616609386E-07
OAS3,1.40912020560604,9.97838002718248E-07
NIPAL1,0.640591081187003,1.12554240855422E-06
HSPA4L,0.714754048752515,1.14017515688716E-06
DIO3,-2.85356509335165,1.23340640762163E-06
CAPN5,0.763457325980397,1.2540195831499E-06
RTL5,-0.537352906248691,1.27605261011022E-06
GDF6,-0.326215949295932,1.28925321063231E-06
ZNF442,2.119713510999,1.36662424198978E-06
IFIH1,1.40720279216776,1.42060484478918E-06
KCNV1,-0.453038455603738,1.60766904544061E-06
NPPB,0.744195262362617,1.669261288195E-06
ODC1,0.747843160356059,1.68344689605134E-06
DCX,-0.971302485031558,1.69885404455133E-06
ACTB,0.274693419586439,1.70755770194152E-06
SH3GLB2,-0.312520777839133,1.81242379594128E-06
PLCD1,0.873133443277901,1.8488964639962E-06
MBNL3,-0.396947809882723,1.94023012224564E-06
TIPARP,0.57111750531417,2.0555457589349E-06
HSD3B1,-0.827811965175042,2.14581753705023E-06
DUSP1,0.65489115490985500,2.26623993130403E-06
TNFRSF12A,0.464790271218307,2.29732768491775E-06
FRMD4B,0.445350026362649,2.34173842913245E-06
MXRA8,-0.404164913590455,2.40683414204425E-06
PCDH1,0.470959658253213,2.57086597506619E-06
RHPN2,0.35912706151645,2.67057331777229E-06
ERVV-1,-3.05114672406123,2.71700498108818E-06
